year,id,sex,treatment,infected,date,birthday,age_months,age_days,weight_kg
1,47457,F,control,no,2018-11-30T00:00:00Z,2018-05-28T00:00:00Z,6,186,1.49
1,47467,M,control,no,2018-06-04T00:00:00Z,2018-05-31T00:00:00Z,0,4,0.47
1,47467,M,control,no,2018-06-14T00:00:00Z,2018-05-31T00:00:00Z,0,14,0.51
1,47467,M,control,no,2018-06-21T00:00:00Z,2018-05-31T00:00:00Z,0,21,0.54
1,47467,M,control,no,2018-07-06T00:00:00Z,2018-05-31T00:00:00Z,1,36,0.62
1,47467,M,control,no,2018-08-06T00:00:00Z,2018-05-31T00:00:00Z,2,67,0.75
1,47467,M,control,no,2018-09-04T00:00:00Z,2018-05-31T00:00:00Z,3,96,0.92
1,47467,M,control,no,2018-11-05T00:00:00Z,2018-05-31T00:00:00Z,5,158,1.24
1,47467,M,control,no,2018-12-05T00:00:00Z,2018-05-31T00:00:00Z,6,188,1.28
1,47470,M,control,no,2018-06-05T00:00:00Z,2018-06-01T00:00:00Z,0,4,0.6
1,47470,M,control,no,2018-07-06T00:00:00Z,2018-06-01T00:00:00Z,1,35,0.69
1,47470,M,control,no,2018-08-06T00:00:00Z,2018-06-01T00:00:00Z,2,66,0.85
1,47470,M,control,no,2018-09-04T00:00:00Z,2018-06-01T00:00:00Z,3,95,1.02
1,47470,M,control,no,2018-11-05T00:00:00Z,2018-06-01T00:00:00Z,5,157,1.3
1,47470,M,control,no,2018-12-05T00:00:00Z,2018-06-01T00:00:00Z,6,187,1.38
1,47487,F,control,no,2018-06-11T00:00:00Z,2018-06-07T00:00:00Z,0,4,0.66
1,47487,F,control,no,2018-07-11T00:00:00Z,2018-06-07T00:00:00Z,1,34,0.75
1,47487,F,control,no,2018-08-13T00:00:00Z,2018-06-07T00:00:00Z,2,67,0.94
1,47487,F,control,no,2018-09-11T00:00:00Z,2018-06-07T00:00:00Z,3,96,1.11
1,47487,F,control,no,2018-10-11T00:00:00Z,2018-06-07T00:00:00Z,4,126,1.29
1,47487,F,control,no,2018-11-05T00:00:00Z,2018-06-07T00:00:00Z,5,151,1.4
1,47487,F,control,no,2018-12-05T00:00:00Z,2018-06-07T00:00:00Z,6,181,1.39
1,47505,M,ABX,no,2018-06-18T00:00:00Z,2018-06-13T00:00:00Z,0,5,0.59
1,47505,M,ABX,no,2018-07-20T00:00:00Z,2018-06-13T00:00:00Z,1,37,0.72
1,47505,M,ABX,no,2018-08-20T00:00:00Z,2018-06-13T00:00:00Z,2,68,0.87
1,47505,M,ABX,no,2018-09-18T00:00:00Z,2018-06-13T00:00:00Z,3,97,1.05
1,47505,M,ABX,no,2018-10-18T00:00:00Z,2018-06-13T00:00:00Z,4,127,1.3
1,47505,M,ABX,no,2018-11-19T00:00:00Z,2018-06-13T00:00:00Z,5,159,1.52
1,47505,M,ABX,no,2018-12-18T00:00:00Z,2018-06-13T00:00:00Z,6,188,1.56
1,47510,F,ABX,no,2018-06-18T00:00:00Z,2018-06-14T00:00:00Z,0,4,0.51
1,47510,F,ABX,no,2018-07-20T00:00:00Z,2018-06-14T00:00:00Z,1,36,0.62
1,47510,F,ABX,no,2018-08-20T00:00:00Z,2018-06-14T00:00:00Z,2,67,0.78
1,47510,F,ABX,no,2018-09-18T00:00:00Z,2018-06-14T00:00:00Z,3,96,0.96
1,47510,F,ABX,no,2018-10-18T00:00:00Z,2018-06-14T00:00:00Z,4,126,1.15
1,47510,F,ABX,no,2018-11-19T00:00:00Z,2018-06-14T00:00:00Z,5,158,1.38
1,47510,F,ABX,no,2018-12-18T00:00:00Z,2018-06-14T00:00:00Z,6,187,1.42
1,47538,M,ABX,no,2018-07-02T00:00:00Z,2018-06-27T00:00:00Z,0,5,0.46
1,47538,M,ABX,no,2018-08-02T00:00:00Z,2018-06-27T00:00:00Z,1,36,0.58
1,47538,M,ABX,no,2018-09-04T00:00:00Z,2018-06-27T00:00:00Z,2,69,0.76
1,47538,M,ABX,no,2018-10-23T00:00:00Z,2018-06-27T00:00:00Z,3,118,1.1
1,47538,M,ABX,no,2018-11-05T00:00:00Z,2018-06-27T00:00:00Z,4,131,1.15
1,47538,M,ABX,no,2018-11-19T00:00:00Z,2018-06-27T00:00:00Z,4,145,1.26
1,47538,M,ABX,no,2018-12-07T00:00:00Z,2018-06-27T00:00:00Z,5,163,1.36
1,47538,M,ABX,no,2019-01-09T00:00:00Z,2018-06-27T00:00:00Z,6,196,1.42
1,47548,M,ABX,no,2018-08-01T00:00:00Z,2018-07-05T00:00:00Z,0,27,0.48
1,47548,M,ABX,no,2018-08-09T00:00:00Z,2018-07-05T00:00:00Z,1,35,0.63
1,47548,M,ABX,no,2018-09-10T00:00:00Z,2018-07-05T00:00:00Z,2,67,0.77
1,47548,M,ABX,no,2018-10-09T00:00:00Z,2018-07-05T00:00:00Z,3,96,0.9
1,47548,M,ABX,no,2018-11-09T00:00:00Z,2018-07-05T00:00:00Z,4,127,1.05
1,47548,M,ABX,no,2018-12-07T00:00:00Z,2018-07-05T00:00:00Z,5,155,1.2
1,47548,M,ABX,no,2019-01-09T00:00:00Z,2018-07-05T00:00:00Z,6,188,1.42
1,47549,F,ABX,no,2018-08-01T00:00:00Z,2018-07-05T00:00:00Z,0,27,0.48
1,47549,F,ABX,no,2018-08-09T00:00:00Z,2018-07-05T00:00:00Z,1,35,0.63
1,47549,F,ABX,no,2018-09-10T00:00:00Z,2018-07-05T00:00:00Z,2,67,0.79
1,47549,F,ABX,no,2018-10-09T00:00:00Z,2018-07-05T00:00:00Z,3,96,0.97
1,47549,F,ABX,no,2018-11-09T00:00:00Z,2018-07-05T00:00:00Z,4,127,1.17
1,47549,F,ABX,no,2018-12-07T00:00:00Z,2018-07-05T00:00:00Z,5,155,1.31
1,47549,F,ABX,no,2019-01-09T00:00:00Z,2018-07-05T00:00:00Z,6,188,1.48
1,47551,F,ABX,no,2018-07-11T00:00:00Z,2018-07-07T00:00:00Z,0,4,0.58
1,47551,F,ABX,no,2018-08-13T00:00:00Z,2018-07-07T00:00:00Z,1,37,0.74
1,47551,F,ABX,no,2018-09-11T00:00:00Z,2018-07-07T00:00:00Z,2,66,0.91
1,47551,F,ABX,no,2018-10-11T00:00:00Z,2018-07-07T00:00:00Z,3,96,1.08
1,47551,F,ABX,no,2018-11-09T00:00:00Z,2018-07-07T00:00:00Z,4,125,1.27
1,47551,F,ABX,no,2018-12-12T00:00:00Z,2018-07-07T00:00:00Z,5,158,1.48
1,47551,F,ABX,no,2019-01-14T00:00:00Z,2018-07-07T00:00:00Z,6,191,1.62
1,47552,M,ABX,no,2018-07-12T00:00:00Z,2018-07-08T00:00:00Z,0,4,0.53
1,47552,M,ABX,no,2018-08-13T00:00:00Z,2018-07-08T00:00:00Z,1,36,0.68
1,47552,M,ABX,no,2018-09-11T00:00:00Z,2018-07-08T00:00:00Z,2,65,0.77
1,47552,M,ABX,no,2018-10-11T00:00:00Z,2018-07-08T00:00:00Z,3,95,0.93
1,47552,M,ABX,no,2018-11-13T00:00:00Z,2018-07-08T00:00:00Z,4,128,1.1
1,47552,M,ABX,no,2018-12-12T00:00:00Z,2018-07-08T00:00:00Z,5,157,1.22
1,47552,M,ABX,no,2019-01-14T00:00:00Z,2018-07-08T00:00:00Z,6,190,1.3
1,47554,F,ABX,no,2018-07-16T00:00:00Z,2018-07-11T00:00:00Z,0,5,0.52
1,47554,F,ABX,no,2018-08-16T00:00:00Z,2018-07-11T00:00:00Z,1,36,0.64
1,47554,F,ABX,no,2018-09-17T00:00:00Z,2018-07-11T00:00:00Z,2,68,0.86
1,47554,F,ABX,no,2018-11-15T00:00:00Z,2018-07-11T00:00:00Z,4,127,1.19
1,47554,F,ABX,no,2018-12-17T00:00:00Z,2018-07-11T00:00:00Z,5,159,1.31
1,47554,F,ABX,no,2019-01-16T00:00:00Z,2018-07-11T00:00:00Z,6,189,1.37
1,47557,F,control,no,2018-07-17T00:00:00Z,2018-07-13T00:00:00Z,0,4,0.43
1,47557,F,control,no,2018-08-16T00:00:00Z,2018-07-13T00:00:00Z,1,34,0.51
1,47557,F,control,no,2018-09-17T00:00:00Z,2018-07-13T00:00:00Z,2,66,0.68
1,47557,F,control,no,2018-11-15T00:00:00Z,2018-07-13T00:00:00Z,4,125,1.06
1,47557,F,control,no,2018-12-17T00:00:00Z,2018-07-13T00:00:00Z,5,157,1.28
1,47557,F,control,no,2019-01-16T00:00:00Z,2018-07-13T00:00:00Z,6,187,1.34
2,48062,M,ABX_H1N1,no,2019-04-29T00:00:00Z,2019-04-23T00:00:00Z,0,6,0.56
2,48062,M,ABX_H1N1,no,2019-05-29T00:00:00Z,2019-04-23T00:00:00Z,1,36,0.71
2,48062,M,ABX_H1N1,no,2019-06-28T00:00:00Z,2019-04-23T00:00:00Z,2,66,0.89
2,48062,M,ABX_H1N1,no,2019-07-29T00:00:00Z,2019-04-23T00:00:00Z,3,97,1.07
2,48062,M,ABX_H1N1,no,2019-08-28T00:00:00Z,2019-04-23T00:00:00Z,4,127,1.35
2,48062,M,ABX_H1N1,no,2019-09-30T00:00:00Z,2019-04-23T00:00:00Z,5,160,1.61
2,48062,M,ABX_H1N1,no,2019-10-07T00:00:00Z,2019-04-23T00:00:00Z,5,167,1.58
2,48062,M,ABX_H1N1,no,2019-10-17T00:00:00Z,2019-04-23T00:00:00Z,5,177,1.68
2,48062,M,ABX_H1N1,yes,2019-10-22T00:00:00Z,2019-04-23T00:00:00Z,5,182,1.64
2,48062,M,ABX_H1N1,yes,2019-10-24T00:00:00Z,2019-04-23T00:00:00Z,6,184,1.7
2,48062,M,ABX_H1N1,yes,2019-10-29T00:00:00Z,2019-04-23T00:00:00Z,6,189,1.8
2,48062,M,ABX_H1N1,yes,2019-11-05T00:00:00Z,2019-04-23T00:00:00Z,6,196,1.8
2,48074,M,ABX_H1N1,no,2019-04-29T00:00:00Z,2019-04-24T00:00:00Z,0,0,0.6
2,48074,M,ABX_H1N1,no,2019-05-29T00:00:00Z,2019-04-24T00:00:00Z,1,35,0.76
2,48074,M,ABX_H1N1,no,2019-06-28T00:00:00Z,2019-04-24T00:00:00Z,2,65,0.92
2,48074,M,ABX_H1N1,no,2019-07-08T00:00:00Z,2019-04-24T00:00:00Z,2,75,0.94
2,48074,M,ABX_H1N1,no,2019-07-29T00:00:00Z,2019-04-24T00:00:00Z,3,96,1.12
2,48074,M,ABX_H1N1,no,2019-08-28T00:00:00Z,2019-04-24T00:00:00Z,4,126,1.27
2,48074,M,ABX_H1N1,no,2019-09-30T00:00:00Z,2019-04-24T00:00:00Z,5,159,1.43
2,48074,M,ABX_H1N1,no,2019-10-07T00:00:00Z,2019-04-24T00:00:00Z,5,166,1.48
2,48074,M,ABX_H1N1,no,2019-10-17T00:00:00Z,2019-04-24T00:00:00Z,5,176,1.54
2,48074,M,ABX_H1N1,yes,2019-10-22T00:00:00Z,2019-04-24T00:00:00Z,5,181,1.54
2,48074,M,ABX_H1N1,yes,2019-10-24T00:00:00Z,2019-04-24T00:00:00Z,6,183,1.56
2,48074,M,ABX_H1N1,yes,2019-10-29T00:00:00Z,2019-04-24T00:00:00Z,6,188,1.7
2,48074,M,ABX_H1N1,yes,2019-11-05T00:00:00Z,2019-04-24T00:00:00Z,6,195,2.7
2,48190,F,control_H1N1,no,2019-05-13T00:00:00Z,2019-05-09T00:00:00Z,0,4,0.42
2,48190,F,control_H1N1,no,2019-05-17T00:00:00Z,2019-05-09T00:00:00Z,0,8,0.46
2,48190,F,control_H1N1,no,2019-06-14T00:00:00Z,2019-05-09T00:00:00Z,1,36,0.57
2,48190,F,control_H1N1,no,2019-07-15T00:00:00Z,2019-05-09T00:00:00Z,2,67,0.748
2,48190,F,control_H1N1,no,2019-08-15T00:00:00Z,2019-05-09T00:00:00Z,3,98,0.91
2,48190,F,control_H1N1,no,2019-09-13T00:00:00Z,2019-05-09T00:00:00Z,4,127,1
2,48190,F,control_H1N1,no,2019-10-15T00:00:00Z,2019-05-09T00:00:00Z,5,159,1.05
2,48190,F,control_H1N1,yes,2019-10-28T00:00:00Z,2019-05-09T00:00:00Z,5,172,1
2,48190,F,control_H1N1,yes,2019-10-29T00:00:00Z,2019-05-09T00:00:00Z,5,173,1.02
2,48190,F,control_H1N1,yes,2019-10-30T00:00:00Z,2019-05-09T00:00:00Z,5,174,1.02
2,48190,F,control_H1N1,yes,2019-10-31T00:00:00Z,2019-05-09T00:00:00Z,5,175,1.02
2,48190,F,control_H1N1,yes,2019-11-04T00:00:00Z,2019-05-09T00:00:00Z,5,179,1.02
2,48190,F,control_H1N1,yes,2019-11-08T00:00:00Z,2019-05-09T00:00:00Z,5,183,1.04
2,48190,F,control_H1N1,yes,2019-11-14T00:00:00Z,2019-05-09T00:00:00Z,6,189,1.04
2,48204,M,control_H1N1,no,2019-05-16T00:00:00Z,2019-05-12T00:00:00Z,0,4,0.39
2,48204,M,control_H1N1,no,2019-06-14T00:00:00Z,2019-05-12T00:00:00Z,1,33,0.47
2,48204,M,control_H1N1,no,2019-07-15T00:00:00Z,2019-05-12T00:00:00Z,2,64,0.63
2,48204,M,control_H1N1,no,2019-08-15T00:00:00Z,2019-05-12T00:00:00Z,3,95,0.81
2,48204,M,control_H1N1,no,2019-09-13T00:00:00Z,2019-05-12T00:00:00Z,4,124,1.03
2,48204,M,control_H1N1,no,2019-10-15T00:00:00Z,2019-05-12T00:00:00Z,5,156,1.23
2,48204,M,control_H1N1,yes,2019-10-28T00:00:00Z,2019-05-12T00:00:00Z,5,169,1.2
2,48204,M,control_H1N1,yes,2019-10-29T00:00:00Z,2019-05-12T00:00:00Z,5,170,1.28
2,48204,M,control_H1N1,yes,2019-10-30T00:00:00Z,2019-05-12T00:00:00Z,5,171,1.26
2,48204,M,control_H1N1,yes,2019-10-31T00:00:00Z,2019-05-12T00:00:00Z,5,172,1.26
2,48204,M,control_H1N1,yes,2019-11-04T00:00:00Z,2019-05-12T00:00:00Z,5,176,1.24
2,48204,M,control_H1N1,yes,2019-11-08T00:00:00Z,2019-05-12T00:00:00Z,5,180,1.28
2,48204,M,control_H1N1,yes,2019-11-14T00:00:00Z,2019-05-12T00:00:00Z,6,186,1.28
2,48221,M,ABX_H1N1,no,2019-05-20T00:00:00Z,2019-05-14T00:00:00Z,0,6,0.51
2,48221,M,ABX_H1N1,no,2019-06-20T00:00:00Z,2019-05-14T00:00:00Z,1,37,0.68
2,48221,M,ABX_H1N1,no,2019-07-22T00:00:00Z,2019-05-14T00:00:00Z,2,69,0.88
2,48221,M,ABX_H1N1,no,2019-08-20T00:00:00Z,2019-05-14T00:00:00Z,3,98,1.01
2,48221,M,ABX_H1N1,no,2019-09-20T00:00:00Z,2019-05-14T00:00:00Z,4,129,1.15
2,48221,M,ABX_H1N1,no,2019-10-21T00:00:00Z,2019-05-14T00:00:00Z,5,160,1.27
2,48221,M,ABX_H1N1,yes,2019-11-04T00:00:00Z,2019-05-14T00:00:00Z,5,174,1.3
2,48221,M,ABX_H1N1,yes,2019-11-05T00:00:00Z,2019-05-14T00:00:00Z,5,175,1.35
2,48221,M,ABX_H1N1,yes,2019-11-07T00:00:00Z,2019-05-14T00:00:00Z,5,177,1.36
2,48221,M,ABX_H1N1,yes,2019-11-15T00:00:00Z,2019-05-14T00:00:00Z,6,185,1.4
2,48221,M,ABX_H1N1,yes,2019-11-20T00:00:00Z,2019-05-14T00:00:00Z,6,190,1.46
2,48230,M,ABX_H1N1,no,2019-05-20T00:00:00Z,2019-05-15T00:00:00Z,0,5,0.68
2,48230,M,ABX_H1N1,no,2019-06-20T00:00:00Z,2019-05-15T00:00:00Z,1,36,0.86
2,48230,M,ABX_H1N1,no,2019-07-22T00:00:00Z,2019-05-15T00:00:00Z,2,68,1.05
2,48230,M,ABX_H1N1,no,2019-08-20T00:00:00Z,2019-05-15T00:00:00Z,3,97,1.25
2,48230,M,ABX_H1N1,no,2019-09-20T00:00:00Z,2019-05-15T00:00:00Z,4,128,1.46
2,48230,M,ABX_H1N1,no,2019-10-21T00:00:00Z,2019-05-15T00:00:00Z,5,159,1.64
2,48230,M,ABX_H1N1,yes,2019-11-04T00:00:00Z,2019-05-15T00:00:00Z,5,173,1.6
2,48230,M,ABX_H1N1,yes,2019-11-05T00:00:00Z,2019-05-15T00:00:00Z,5,174,1.62
2,48230,M,ABX_H1N1,yes,2019-11-07T00:00:00Z,2019-05-15T00:00:00Z,5,176,1.6
2,48230,M,ABX_H1N1,yes,2019-11-15T00:00:00Z,2019-05-15T00:00:00Z,6,184,1.64
2,48230,M,ABX_H1N1,yes,2019-11-20T00:00:00Z,2019-05-15T00:00:00Z,6,189,1.82
2,48348,M,control_H1N1,no,2019-06-19T00:00:00Z,2019-06-15T00:00:00Z,0,4,0.39
2,48348,M,control_H1N1,no,2019-06-23T00:00:00Z,2019-06-15T00:00:00Z,0,8,0.41
2,48348,M,control_H1N1,no,2019-07-22T00:00:00Z,2019-06-15T00:00:00Z,1,37,0.66
2,48348,M,control_H1N1,no,2019-08-20T00:00:00Z,2019-06-15T00:00:00Z,2,66,0.85
2,48348,M,control_H1N1,no,2019-09-20T00:00:00Z,2019-06-15T00:00:00Z,3,97,1.05
2,48348,M,control_H1N1,no,2019-10-21T00:00:00Z,2019-06-15T00:00:00Z,4,128,1.26
2,48348,M,control_H1N1,no,2019-11-26T00:00:00Z,2019-06-15T00:00:00Z,5,164,1.51
2,48348,M,control_H1N1,yes,2019-12-04T00:00:00Z,2019-06-15T00:00:00Z,5,172,1.5
2,48348,M,control_H1N1,yes,2019-12-09T00:00:00Z,2019-06-15T00:00:00Z,5,177,1.54
2,48348,M,control_H1N1,yes,2019-12-13T00:00:00Z,2019-06-15T00:00:00Z,5,181,1.58
2,48348,M,control_H1N1,yes,2019-12-16T00:00:00Z,2019-06-15T00:00:00Z,6,184,1.64
2,48363,M,control_H1N1,no,2019-06-28T00:00:00Z,2019-06-24T00:00:00Z,0,4,0.67
2,48363,M,control_H1N1,no,2019-07-29T00:00:00Z,2019-06-24T00:00:00Z,1,35,0.85
2,48363,M,control_H1N1,no,2019-08-28T00:00:00Z,2019-06-24T00:00:00Z,2,65,1.06
2,48363,M,control_H1N1,no,2019-09-30T00:00:00Z,2019-06-24T00:00:00Z,3,98,1.27
2,48363,M,control_H1N1,no,2019-10-29T00:00:00Z,2019-06-24T00:00:00Z,4,127,1.44
2,48363,M,control_H1N1,no,2019-11-26T00:00:00Z,2019-06-24T00:00:00Z,5,155,1.58
2,48363,M,control_H1N1,yes,2019-12-04T00:00:00Z,2019-06-24T00:00:00Z,5,163,1.58
2,48363,M,control_H1N1,yes,2019-12-09T00:00:00Z,2019-06-24T00:00:00Z,5,168,1.6
2,48363,M,control_H1N1,yes,2019-12-13T00:00:00Z,2019-06-24T00:00:00Z,5,172,1.6
2,48363,M,control_H1N1,yes,2019-12-16T00:00:00Z,2019-06-24T00:00:00Z,6,175,1.62
2,48381,M,ABX,no,2019-07-17T00:00:00Z,2019-07-12T00:00:00Z,0,5,0.53
2,48381,M,ABX,no,2019-08-15T00:00:00Z,2019-07-12T00:00:00Z,1,34,0.69
2,48381,M,ABX,no,2019-09-20T00:00:00Z,2019-07-12T00:00:00Z,2,70,0.89
2,48381,M,ABX,no,2019-10-15T00:00:00Z,2019-07-12T00:00:00Z,3,95,1.04
2,48381,M,ABX,no,2019-11-19T00:00:00Z,2019-07-12T00:00:00Z,4,130,1.23
2,48381,M,ABX,no,2019-12-17T00:00:00Z,2019-07-12T00:00:00Z,5,158,1.32
2,48381,M,ABX,no,2020-01-17T00:00:00Z,2019-07-12T00:00:00Z,6,189,1.56
2,48408,F,ABX,no,2019-08-16T00:00:00Z,2019-08-11T00:00:00Z,0,5,0.57
2,48408,F,ABX,no,2019-09-13T00:00:00Z,2019-08-11T00:00:00Z,1,33,0.52
2,48408,F,ABX,no,2019-09-17T00:00:00Z,2019-08-11T00:00:00Z,1,37,0.53
2,48408,F,ABX,no,2019-09-27T00:00:00Z,2019-08-11T00:00:00Z,1,47,0.58
2,48408,F,ABX,no,2019-10-02T00:00:00Z,2019-08-11T00:00:00Z,1,52,0.57
2,48408,F,ABX,no,2019-10-10T00:00:00Z,2019-08-11T00:00:00Z,1,60,0.61
2,48408,F,ABX,no,2019-10-15T00:00:00Z,2019-08-11T00:00:00Z,2,65,0.6
2,48408,F,ABX,no,2019-10-23T00:00:00Z,2019-08-11T00:00:00Z,2,73,0.63
2,48408,F,ABX,no,2019-10-29T00:00:00Z,2019-08-11T00:00:00Z,2,79,0.64
2,48408,F,ABX,no,2019-11-05T00:00:00Z,2019-08-11T00:00:00Z,2,86,0.69
2,48408,F,ABX,no,2019-11-13T00:00:00Z,2019-08-11T00:00:00Z,3,94,0.73
2,48408,F,ABX,no,2019-11-19T00:00:00Z,2019-08-11T00:00:00Z,3,100,0.76
2,48408,F,ABX,no,2019-12-17T00:00:00Z,2019-08-11T00:00:00Z,4,128,0.94
2,48408,F,ABX,no,2020-01-16T00:00:00Z,2019-08-11T00:00:00Z,5,158,1.22
2,48408,F,ABX,no,2020-01-31T00:00:00Z,2019-08-11T00:00:00Z,5,173,1.4
2,48408,F,ABX,no,2020-02-10T00:00:00Z,2019-08-11T00:00:00Z,6,183,1.49
2,48429,F,control,no,2019-09-20T00:00:00Z,2019-09-17T00:00:00Z,0,3,0.51
2,48429,F,control,no,2019-10-21T00:00:00Z,2019-09-17T00:00:00Z,1,34,0.65
2,48429,F,control,no,2019-11-19T00:00:00Z,2019-09-17T00:00:00Z,2,63,0.78
2,48429,F,control,no,2019-12-17T00:00:00Z,2019-09-17T00:00:00Z,3,91,0.91
2,48429,F,control,no,2020-01-16T00:00:00Z,2019-09-17T00:00:00Z,3,121,1.06
2,48429,F,control,no,2020-02-20T00:00:00Z,2019-09-17T00:00:00Z,5,156,1.3
2,48429,F,control,no,2020-03-20T00:00:00Z,2019-09-17T00:00:00Z,6,185,1.54
3,50583,Male,control_H1N1,no,2022-05-09T00:00:00Z,2022-05-06T00:00:00Z,0,3,0.51
3,50583,Male,control_H1N1,no,2022-05-10T00:00:00Z,2022-05-06T00:00:00Z,0,4,0.56
3,50583,Male,control_H1N1,no,2022-05-11T00:00:00Z,2022-05-06T00:00:00Z,0,5,0.52
3,50583,Male,control_H1N1,no,2022-05-12T00:00:00Z,2022-05-06T00:00:00Z,0,6,0.52
3,50583,Male,control_H1N1,no,2022-05-13T00:00:00Z,2022-05-06T00:00:00Z,0,7,0.53
3,50583,Male,control_H1N1,no,2022-05-14T00:00:00Z,2022-05-06T00:00:00Z,0,8,0.53
3,50583,Male,control_H1N1,no,2022-05-15T00:00:00Z,2022-05-06T00:00:00Z,0,9,0.54
3,50583,Male,control_H1N1,no,2022-06-09T00:00:00Z,2022-05-06T00:00:00Z,1,34,0.63
3,50583,Male,control_H1N1,no,2022-06-13T00:00:00Z,2022-05-06T00:00:00Z,1,38,0.65
3,50583,Male,control_H1N1,no,2022-07-08T00:00:00Z,2022-05-06T00:00:00Z,2,63,0.76
3,50583,Male,control_H1N1,no,2022-08-09T00:00:00Z,2022-05-06T00:00:00Z,3,95,0.92
3,50583,Male,control_H1N1,no,2022-09-09T00:00:00Z,2022-05-06T00:00:00Z,4,126,1.08
3,50583,Male,control_H1N1,no,2022-10-11T00:00:00Z,2022-05-06T00:00:00Z,5,158,1.16
3,50583,Male,control_H1N1,yes,2022-10-25T00:00:00Z,2022-05-06T00:00:00Z,6,172,1.21
3,50583,Male,control_H1N1,yes,2022-10-26T00:00:00Z,2022-05-06T00:00:00Z,6,173,1.25
3,50583,Male,control_H1N1,yes,2022-10-27T00:00:00Z,2022-05-06T00:00:00Z,6,174,1.29
3,50583,Male,control_H1N1,yes,2022-10-28T00:00:00Z,2022-05-06T00:00:00Z,6,175,1.27
3,50583,Male,control_H1N1,yes,2022-11-01T00:00:00Z,2022-05-06T00:00:00Z,6,179,1.29
3,50583,Male,control_H1N1,yes,2022-11-05T00:00:00Z,2022-05-06T00:00:00Z,6,183,1.29
3,50583,Male,control_H1N1,yes,2022-11-08T00:00:00Z,2022-05-06T00:00:00Z,6,186,1.35
3,50584,Male,control_H1N1,no,2022-05-09T00:00:00Z,2022-05-06T00:00:00Z,0,3,0.48
3,50584,Male,control_H1N1,no,2022-05-10T00:00:00Z,2022-05-06T00:00:00Z,0,4,0.48
3,50584,Male,control_H1N1,no,2022-05-11T00:00:00Z,2022-05-06T00:00:00Z,0,5,0.48
3,50584,Male,control_H1N1,no,2022-05-12T00:00:00Z,2022-05-06T00:00:00Z,0,6,0.49
3,50584,Male,control_H1N1,no,2022-05-13T00:00:00Z,2022-05-06T00:00:00Z,0,7,0.49
3,50584,Male,control_H1N1,no,2022-05-14T00:00:00Z,2022-05-06T00:00:00Z,0,8,0.49
3,50584,Male,control_H1N1,no,2022-05-15T00:00:00Z,2022-05-06T00:00:00Z,0,9,0.5
3,50584,Male,control_H1N1,no,2022-06-09T00:00:00Z,2022-05-06T00:00:00Z,1,34,0.65
3,50584,Male,control_H1N1,no,2022-06-13T00:00:00Z,2022-05-06T00:00:00Z,1,38,0.67
3,50584,Male,control_H1N1,no,2022-07-08T00:00:00Z,2022-05-06T00:00:00Z,2,63,0.8
3,50584,Male,control_H1N1,no,2022-08-09T00:00:00Z,2022-05-06T00:00:00Z,3,95,0.9
3,50584,Male,control_H1N1,no,2022-09-09T00:00:00Z,2022-05-06T00:00:00Z,4,126,1.05
3,50584,Male,control_H1N1,no,2022-10-11T00:00:00Z,2022-05-06T00:00:00Z,5,158,1.2
3,50584,Male,control_H1N1,yes,2022-10-25T00:00:00Z,2022-05-06T00:00:00Z,6,172,1.21
3,50584,Male,control_H1N1,yes,2022-10-26T00:00:00Z,2022-05-06T00:00:00Z,6,173,1.23
